,total_count,neighborhood
0,2,Mount Oliver Borough
1,1,Sheraden
2,1,Terrace Village
3,1,Brighton Heights
4,1,
5,1,Westwood
6,1,East Liberty
7,2,Upper Lawrenceville
8,1,Marshall-Shadeland
9,1,Beechview
10,1,East Hills
11,2,Marshall-Shadeland
12,1,Arlington
13,1,Arlington Heights
14,1,Mount Washington
15,1,East Liberty
16,1,South Side Flats
17,2,Hazelwood
18,1,Homewood South
19,1,Greenfield
20,1,Bloomfield
21,2,Beltzhoover
22,1,Homewood South
23,2,Homewood North
24,1,Hazelwood
25,1,Brighton Heights
26,1,Upper Hill
27,1,Perry South
28,1,Lincoln-Lemington-Belmar
29,1,Bedford Dwellings
30,2,Homewood West
31,1,Bedford Dwellings
32,1,Carrick
33,2,Central Northside
34,1,Chateau
35,1,Beltzhoover
36,1,Beechview
37,1,Fineview
38,1,Chartiers City
39,2,Larimer
40,1,Beltzhoover
41,1,Larimer
42,1,Beltzhoover
43,1,Polish Hill
44,1,Larimer
45,1,South Shore
46,1,Highland Park
47,1,Marshall-Shadeland
48,1,
49,1,Homewood South
50,1,South Side Flats
51,1,Knoxville
52,1,Lower Lawrenceville
53,1,Larimer
54,1,
55,1,Carrick
56,1,Homewood North
57,1,Allentown
58,1,Homewood South
59,1,Homewood North
60,1,Spring Hill-City View
61,1,Garfield
62,3,Knoxville
63,1,Central Northside
64,1,Beltzhoover
65,4,Bluff
66,1,Homewood North
67,1,Garfield
68,1,Overbrook
69,1,Knoxville
70,1,Homewood North
71,1,Garfield
72,1,Beltzhoover
73,2,Perry South
74,1,Terrace Village
75,1,Bedford Dwellings
76,2,
77,1,Bluff
78,1,Beltzhoover
79,1,South Side Slopes
80,1,Knoxville
81,1,Fineview
82,1,Bluff
83,1,Central Business District
84,1,Central Business District
85,1,South Side Flats
86,1,Banksville
87,1,Perry North
88,1,Larimer
89,1,Homewood South
90,1,
91,1,Central Northside
92,1,Lincoln-Lemington-Belmar
93,2,Garfield
94,1,Homewood South
95,2,Homewood South
96,1,
97,1,Central Business District
98,1,Larimer
99,1,
100,1,Beltzhoover
101,1,Banksville
102,2,Perry North
103,1,Perry South
104,1,South Side Flats
105,1,Friendship
106,1,
107,1,Marshall-Shadeland
108,1,Carrick
109,2,Perry South
110,2,Upper Hill
111,1,
112,3,Homewood South
113,2,
114,1,Crawford-Roberts
115,1,Middle Hill
116,1,Homewood North
117,1,Polish Hill
118,2,Larimer
119,1,Homewood North
120,1,Allentown
121,1,Homewood South
122,1,Homewood South
123,1,Mount Washington
124,1,Greenfield
125,1,
126,1,Larimer
127,1,Brookline
128,1,Homewood South
129,1,Point Breeze
130,2,Larimer
131,1,Central Northside
132,24,Homewood South
133,1,Larimer
134,2,Crawford-Roberts
135,1,Carrick
136,2,Marshall-Shadeland
137,1,Carrick
138,1,Homewood North
139,1,Homewood South
140,1,
141,1,
142,3,Chateau
143,1,Knoxville
144,1,Brighton Heights
145,1,
146,1,Lincoln-Lemington-Belmar
147,1,Brighton Heights
148,3,Crafton Heights
149,1,Homewood North
150,1,Middle Hill
151,1,Homewood North
152,1,Northview Heights
153,4,Arlington
154,1,Homewood North
155,1,Homewood North
156,1,Crafton Heights
157,1,
158,1,Greenfield
159,1,Homewood West
160,1,
161,1,East Hills
162,1,South Oakland
163,2,Upper Hill
164,1,Point Breeze North
165,1,
166,1,Bedford Dwellings
167,1,Upper Hill
168,1,Larimer
169,1,Terrace Village
170,1,Perry South
171,1,East Allegheny
172,1,Bedford Dwellings
173,1,Chateau
174,1,Sheraden
175,1,Garfield
176,1,Beechview
177,1,Central Northside
178,1,East Hills
179,2,Homewood North
180,1,
181,1,East Liberty
182,1,Central Business District
183,1,Arlington
184,1,East Allegheny
185,1,Sheraden
186,1,East Hills
187,5,Highland Park
188,3,
189,1,Garfield
190,1,Elliott
191,1,Upper Lawrenceville
192,1,Marshall-Shadeland
193,2,Arlington
194,1,Upper Hill
195,1,East Hills
196,1,South Oakland
197,1,Sheraden
198,1,
199,1,Sheraden
200,2,Allentown
201,1,Central Northside
202,1,
203,1,East Hills
204,1,Allentown
205,2,Larimer
206,1,Lincoln-Lemington-Belmar
207,2,Elliott
208,1,Arlington
209,1,Garfield
210,1,Perry South
211,1,Terrace Village
212,1,East Liberty
213,1,Bedford Dwellings
214,1,Beltzhoover
215,1,Fairywood
216,1,
217,1,Sheraden
218,2,
219,1,Hazelwood
220,1,South Oakland
221,2,Bedford Dwellings
222,1,Homewood South
223,1,Shadyside
224,1,Crawford-Roberts
225,1,East Liberty
226,1,
227,1,Homewood South
228,1,Larimer
229,1,
230,1,Homewood South
231,2,Carrick
232,1,Central Business District
233,1,Allegheny West
234,1,Larimer
235,1,Overbrook
236,1,
237,1,Middle Hill
238,1,Hazelwood
239,1,South Oakland
240,1,Mount Washington
241,1,Terrace Village
242,1,Crafton Heights
243,1,Carrick
244,1,Manchester
245,1,Homewood South
246,1,Central Northside
247,7,Knoxville
248,2,Brookline
249,1,Garfield
250,1,Knoxville
251,1,Perry South
252,1,South Side Slopes
253,1,North Oakland
254,2,
255,2,Larimer
256,2,
257,1,Homewood South
258,1,East Allegheny
259,1,Hazelwood
260,1,East Liberty
261,1,Homewood South
262,1,Beltzhoover
263,1,Mount Washington
264,2,Chateau
265,1,Arlington Heights
266,1,Polish Hill
267,1,Larimer
268,1,Brookline
269,1,Brighton Heights
270,1,
271,1,Homewood West
272,1,Middle Hill
273,1,Homewood North
274,1,Perry South
275,1,East Liberty
276,1,
277,1,
278,1,
279,1,South Side Flats
280,2,Allentown
281,1,Mount Washington
282,1,Bedford Dwellings
283,3,Perry South
284,1,Chateau
285,3,East Liberty
286,1,East Liberty
